POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
PVK,C1=CC=CC=N1,6,1,0,0,1,1.47764158524097,0.250088875014074,0.869145132154981,43.6759036012826,3.45554648381778,271.164518277589,0.0839777671001783,-0.264736970888988,74.062,0,1
PANI,C1=CC=CC=N1C,,,,,,,,,,,,,,,,
PEDOT,C1=CSC=C1O,6,2,0,0,1,1.63053682633575,0.414417902631488,0.964002477364873,45.572552400903,3.19730120215041,245.650784636368,0.293137322485469,-0.507089679246106,96.11,1,1
PMI,C1=NC(=O)C=CN1,7,3,0,0,1,1.65670945537574,0.348201334966026,0.947729396001395,45.7101598143434,3.58857416157723,346.680674200219,0.272053688770445,-0.352385344464484,92.057,1,3
PBTL,OCCCCCC(=O)O,9,3,0.833333333333333,0,0,2.58826011957296,0.482467786928976,0.975594987402176,71.3469377225166,6.06226164748811,403.796944384922,0.302839568636333,-0.481230389753162,120.063,2,3
PHB,CC(O)C(=O)OCC,8,3,0.8,0,0,2.14384457995811,0.330806494753173,0.948097488817013,62.404695826968,5.20253174635764,318.455291091834,0.334147689302956,-0.464078219287178,108.052,1,3
PHBV,CC(O)C(=O)OCCC,9,3,0.833333333333333,0,0,2.41169878679959,0.524343485716891,0.979927509874753,71.5795789417002,5.52294207837984,396.777394376268,0.33415760546268,-0.463795068827369,120.063,1,3
PLA_Copolymer,CC(O)C(=O)OCCC,9,3,0.833333333333333,0,0,2.41169878679959,0.524343485716891,0.979927509874753,71.5795789417002,5.52294207837984,396.777394376268,0.33415760546268,-0.463795068827369,120.063,1,3
PET_Copolymer,OCCOC(=O)C1=CC=CC=C1,12,3,0.222222222222222,0,1,2.71414104284364,0.546706325958351,0.982814938153515,84.7319058042388,3.32069221656659,585.145255317795,0.337701525238305,-0.459652350171747,156.096,1,3
Nylon_Copolymer,NCCCC(=O)NCCCC,11,3,0.875,0,0,3.14161092046389,0.68287628015803,0.992539703610574,93.8087597090059,6.35051435353808,621.840874062066,0.219543180227551,-0.3561064889783,140.101,3,3
TPU_Elastic,O=C(NCCCCN)OCCO,12,5,0.857142857142857,0,0,3.48288051540673,0.751981695408288,0.99570779791501,94.6283258341038,5.95018412510251,578.585184838519,0.406708957945608,-0.447119444260697,160.088,4,5
Silicone_PDMS,[Si](C)(C)O,4,2,1,0,0,1.46601048639568,0.1679424975657,0.835450338345495,37.9208810468127,4.42642498345317,111.382713341953,0.199948964009895,-0.431983938992313,68.107,1,1
Epoxy,C1OC1C2=CC=CC=C2,9,1,0.25,1,1,2.11907919582135,0.462387197688263,0.973138459235236,65.5087654256104,2.72776310492133,483.732022141675,0.105957244590413,-0.368047025492977,112.087,0,1
Phenolic,C1=CC=C(O)C=C1,7,1,0,0,1,1.74648911994471,0.35487138451553,0.949742663186995,50.7421301308271,3.56375767604791,320.46309272239,0.293092066584563,-0.507966994866307,88.065,1,1
Melamine_Formaldehyde,C1=NC(N)=NC(N)=N1,8,5,0,0,1,1.89193022443408,0.342944544995653,0.946062446096285,53.0272074861544,3.11024034246972,275.971374310576,0.224285416597672,-0.36764570234106,106.068,4,5
Urea_Formaldehyde,NC(=O)N,4,3,0,0,0,1.29587928518892,0.256959275697445,0.892100954731005,29.4326630515234,3.65123357893369,82.0391000173078,0.309056401422831,-0.351846239505639,56.024,4,3
Polyimide_Modified,O=C1NC(=O)C2=CC=CC=C2,,,,,,,,,,,,,,,,
Polyamide_12,NCCCCCCCCCCCC(=O)O,15,3,0.916666666666667,0,0,4.46061777991222,0.691785462844109,0.993227393955091,128.376306862244,7.32261497080689,951.446151085897,0.302839556532184,-0.481230389785217,190.137,3,3
Polyamide_11,NCCCCCCCCCCC(=O)O,14,3,0.909090909090909,0,0,4.06149980848779,0.725240726459175,0.994697636658834,119.201423747512,7.19091757254327,860.753724106245,0.302839556532184,-0.481230389785217,178.126,3,3
Polyamide_6_10,NCCCCCC(=O)NCCCCCCCCCC(=O)O,21,5,0.875,0,0,4.3659746505864,0.40650345129718,0.96451583720385,173.440309736895,7.43626336734949,1384.24400518943,0.302839556532184,-0.481230389785217,268.187,4,5
Polyamide_4_6,NCCCC(=O)NCCCCCC(=O)O,15,5,0.8,0,0,4.08671219866599,0.630156575872051,0.989532087045236,118.391011048502,6.70646865269673,823.968126765631,0.302839565984305,-0.481230389760159,196.121,4,5
Polycarbonate_Mod,O=C(Oc1ccccc1)OCC,12,3,0.222222222222222,0,1,2.95794016293461,0.723110956547244,0.994702141362098,84.9645470234224,3.09603951050857,579.635480313468,0.513330628708671,-0.434278676862988,156.096,0,3
PET_Recycled,OCCOC(=O)C1=CC=CC=C1C(=O)O,15,5,0.2,0,1,2.79710747760097,0.301993174404689,0.93844581651931,100.139274029002,3.56325066493714,718.773443401212,0.338590181052338,-0.477620338124313,200.105,2,5
PLA_Reinforced,CC(O)C(=O)OCCO,9,4,0.8,0,0,2.21728278950021,0.313321491658155,0.942606120742714,67.2855998372913,5.26463523053176,339.301938205449,0.334242026425509,-0.461339322802061,124.051,2,4
